dqcId,Instrument (mhId),cId,Test ID (mtId),Value (iValue),Date (iDate),User (iUser),Lot (lot)
366539,I001,C002,1,13.600000381469727,2026-06-12 06:27:48,115583,SED2528802
366540,I001,C002,2,6.599999904632568,2026-06-12 06:27:48,115583,SED2528802
366537,I001,C001,1,2.4000000953674316,2026-06-12 06:27:33,115583,SED2528801
366538,I001,C001,2,1.2000000476837158,2026-06-12 06:27:33,115583,SED2528801
366527,I001,C004,31,2.0,2026-06-12 06:26:30,115583,CH2528802
366528,I001,C004,32,4.0,2026-06-12 06:26:30,115583,CH2528802
366529,I001,C004,33,2.0,2026-06-12 06:26:30,115583,CH2528802
366530,I001,C004,34,-1.0,2026-06-12 06:26:30,115583,ch2528802
366531,I001,C004,35,3.0,2026-06-12 06:26:30,115583,CH2528802
366532,I001,C004,36,2.0,2026-06-12 06:26:30,115583,CH2528802
366533,I001,C004,37,3.0,2026-06-12 06:26:30,115583,CH2528802
366534,I001,C004,38,7.0,2026-06-12 06:26:30,115583,CH2528802
366535,I001,C004,39,1.0,2026-06-12 06:26:30,115583,ch2528802
366536,I001,C004,40,3.0,2026-06-12 06:26:30,115583,CH2528802
366526,I001,C004,41,1.0140000581741333,2026-06-12 06:26:30,115583,CH2528802
366516,I001,C003,31,-1.0,2026-06-12 06:26:18,115583,ch2528801
366517,I001,C003,32,-1.0,2026-06-12 06:26:18,115583,ch2528801
366518,I001,C003,33,-1.0,2026-06-12 06:26:18,115583,ch2528801
366519,I001,C003,34,-1.0,2026-06-12 06:26:18,115583,ch2528801
366520,I001,C003,35,-1.0,2026-06-12 06:26:18,115583,ch2528801
366521,I001,C003,36,-1.0,2026-06-12 06:26:18,115583,ch2528801
366522,I001,C003,37,-1.0,2026-06-12 06:26:18,115583,CH2528801
366523,I001,C003,38,5.5,2026-06-12 06:26:18,115583,CH2528801
366524,I001,C003,39,-1.0,2026-06-12 06:26:18,115583,ch2528801
366525,I001,C003,40,-1.0,2026-06-12 06:26:18,115583,ch2528801
366515,I001,C003,41,1.0210000276565552,2026-06-12 06:26:18,115583,CH2528801
366465,I003,C202,1,12.399999618530273,2026-06-12 01:08:51,115821,D252882
366466,I003,C202,2,7.599999904632568,2026-06-12 01:08:51,115821,D252882
366463,I003,C201,1,3.200000047683716,2026-06-12 01:08:30,115821,D252881
366464,I003,C201,2,2.700000047683716,2026-06-12 01:08:30,115821,D252881
366479,I003,C204,31,2.0,2026-06-12 01:01:22,115821,c252882
366480,I003,C204,32,3.0,2026-06-12 01:01:22,115821,c252882
366481,I003,C204,33,2.0,2026-06-12 01:01:22,115821,c252882
366482,I003,C204,34,-1.0,2026-06-12 01:01:22,115821,c252882
366483,I003,C204,35,3.0,2026-06-12 01:01:22,115821,c252882
366484,I003,C204,36,2.0,2026-06-12 01:01:22,115821,c252882
366485,I003,C204,37,3.0,2026-06-12 01:01:22,115821,c252882
366486,I003,C204,38,7.0,2026-06-12 01:01:22,115821,c252882
366487,I003,C204,39,1.0,2026-06-12 01:01:22,115821,c252882
366488,I003,C204,40,3.0,2026-06-12 01:01:22,115821,c252882
366478,I003,C204,41,1.0149999856948853,2026-06-12 01:01:22,115821,c252882
366468,I003,C203,31,-1.0,2026-06-12 01:01:03,115821,c252881
366469,I003,C203,32,-1.0,2026-06-12 01:01:03,115821,c252881
366470,I003,C203,33,-1.0,2026-06-12 01:01:03,115821,c252881
366471,I003,C203,34,-1.0,2026-06-12 01:01:03,115821,c252881
366472,I003,C203,35,-1.0,2026-06-12 01:01:03,115821,c252881
366473,I003,C203,36,-1.0,2026-06-12 01:01:03,115821,c252881
366474,I003,C203,37,-1.0,2026-06-12 01:01:03,115821,c252881
366475,I003,C203,38,5.5,2026-06-12 01:01:03,115821,c252881
366476,I003,C203,39,-1.0,2026-06-12 01:01:03,115821,c252881
366477,I003,C203,40,-1.0,2026-06-12 01:01:03,115821,c252881
366467,I003,C203,41,1.0230000019073486,2026-06-12 01:01:03,115821,c252881
366513,I002,C102,1,14.199999809265137,2026-06-12 00:30:51,101819,SED2528802
366514,I002,C102,2,8.600000381469727,2026-06-12 00:30:51,101819,SED2528802
366511,I002,C101,1,1.600000023841858,2026-06-12 00:30:35,101819,SED2528801
366512,I002,C101,2,2.200000047683716,2026-06-12 00:30:35,101819,SED2528801
366501,I002,C104,31,3.0,2026-06-12 00:29:31,101819,ch2528802
366502,I002,C104,32,3.0,2026-06-12 00:29:31,101819,ch2528802
366503,I002,C104,33,2.0,2026-06-12 00:29:31,101819,ch2528802
366504,I002,C104,34,-1.0,2026-06-12 00:29:31,101819,ch2528802
366505,I002,C104,35,3.0,2026-06-12 00:29:31,101819,ch2528802
366506,I002,C104,36,2.0,2026-06-12 00:29:31,101819,ch2528802
366507,I002,C104,37,3.0,2026-06-12 00:29:31,101819,ch2528802
366508,I002,C104,38,7.0,2026-06-12 00:29:31,101819,CH2528802
366509,I002,C104,39,1.0,2026-06-12 00:29:31,101819,ch2528802
366510,I002,C104,40,3.0,2026-06-12 00:29:31,101819,ch2528802
366500,I002,C104,41,1.0160000324249268,2026-06-12 00:29:31,101819,CH2528802
366490,I002,C103,31,-1.0,2026-06-12 00:29:11,101819,ch2528801
366491,I002,C103,32,-1.0,2026-06-12 00:29:11,101819,ch2528801
366492,I002,C103,33,-1.0,2026-06-12 00:29:11,101819,ch2528801
366493,I002,C103,34,-1.0,2026-06-12 00:29:11,101819,ch2528801
366494,I002,C103,35,-1.0,2026-06-12 00:29:11,101819,ch2528801
366495,I002,C103,36,-1.0,2026-06-12 00:29:11,101819,ch2528801
366496,I002,C103,37,-1.0,2026-06-12 00:29:11,101819,CH2528801
366497,I002,C103,38,5.5,2026-06-12 00:29:11,101819,ch2528801
366498,I002,C103,39,-1.0,2026-06-12 00:29:11,101819,ch2528801
366499,I002,C103,40,-1.0,2026-06-12 00:29:11,101819,ch2528801
366489,I002,C103,41,1.0230000019073486,2026-06-12 00:29:11,101819,CH2528801
